ID_verbatim_long	ID_verbatim_short	ID_Respondent	Question	Verbatim	CODE-h1	#Words
R_2saIIyCmeYeskJqQ14	V347	R_2saIIyCmeYeskJq	Q14	In all cases that I can recall, the errors in manuscripts that I have identified been have been corrected by the authors before publication. In many cases this requires a thorough reading of the manuscript and the amount of reviewing and other pressures make it difficult to find the time to devote to a thorough review, leading me to decline many review requests. The reviews of my own work are often general and focus on the novelty rather than technical points, so it is welcome to have a review that addresses technical points. I suspect that many reviewers do not have the time to do this.	Reviewers point out error, authors glad to be notified about an error	106
R_2wgExQsrWjtQJrpQ14	V242	R_2wgExQsrWjtQJrp	Q14	Most errors have been caught in peer review. Most scientists are grateful and open to working on errors and view this as part of the process. However, I have seen authors attacked because of financial or political reasons.	Reviewers point out error, authors glad to be notified about an error	38
R_RwshY2FAtcHlQ3LQ14	V509	R_RwshY2FAtcHlQ3L	Q14	Reviewers were usually very good in spotting errors and I did it too by myself upon re-reading the text and labels along the axes in the figures. As a reviewer, I tried to be kind and indicate the errors which can be corrected.	Reviewers point out error, authors glad to be notified about an error	43
R_2rlxQ6G5GtFOZlEQ14	V499	R_2rlxQ6G5GtFOZlE	Q14	The peer review process has generally been helpful for me to identify errors/mistakes in my own work, and I have also been able to identify errors prior to publication in other papers that I have peer reviewed.  In some cases, my expertise might only apply to part of a paper (for example, the characterization/application of a material), but not to another part of the paper (for example, the material synthesis). So, I believe it is important to have reviewers with different areas of expertise look at the same paper, since it is unlikely that one reviewer will broadly understand every part of a manuscript.  I believe that minor errors are more likely to be corrected if there was a simpler approach for making a correction. Having to submit a formal correction to correct a minor part of paper is likely a deterrent for many researchers.	Reviewers point out error, authors glad to be notified about an error	147
R_3O17ESA1zRkGEL8Q14	V453	R_3O17ESA1zRkGEL8	Q14	There are many unintentional errors that creep into work, or not even errors but places where we over-rationalize our own work and excuse (or don't even notice) deficiencies in our work. I'm always very appreciative when reviewers point out such issues in my manuscripts and I have the chance to consider and correct them. I try to pay that forward in my own reviewing work, where I try to take a respectful but critical eye to the papers that cross my desk, and don't just give them the 1 or 2 hour quick glance.   However, I feel that today's science doesn't reward correctness or thoroughness. We are all pushed to publish as many papers as possible, as quickly as possible, and preferably as flashy as possible (so they will be highly cited and put into well-regarded journals). This pressure not only encourages us to ignore (or take the time to correct) weaknesses in our own work, but also puts the average faculty member under tremendous time pressure, such that other service duties fundamental to science (rigorous and meaningful peer review, for example) are given short shrift.   Mistakes, disagreements, corrections, retractions, etc., are all fundamental to science and should be taken as such. Instead, we have poorly aligned incentives, and often adversarial relationships with the pubpeers and retractionwatches of the world. It's difficult to know how academic society should respond to these concerns, but in general in the few times I've been motivated to speak up regarding concerns about scientific correctness, I try to give the benefit of the doubt (I have been proven wrong by the authors of a "mistaken" paper before!). I think more rigor and more humility on the sides of both authors and reviewers is needed to keep scientific literature on a path to correctness.	Reviewers point out error, authors glad to be notified about an error	302
R_3D7TpETu7riIAgDQ14	V512	R_3D7TpETu7riIAgD	Q14	When I have reported a scientific error when reviewing a manuscript the authors have corrected it and said thanks for noticing. i suppose in all cases it was a true error or mistake, not introduced on purpose.	Reviewers point out error, authors glad to be notified about an error	37
R_325zDyEO0IjFsFLQ14	V513	R_325zDyEO0IjFsFL	Q14	When I have the feeling that a requested correction is an error I mentioned it to the editor. After exchange of e-mail either I am right and I do change the manuscript or it is clear that I missed the point and that I did an error that I correct because every thing has been cleraly discussed.  Up to know, I cannot complain about the peer-rewieving process when I do not agree with reviewers.	Reviewers point out error, authors glad to be notified about an error	75
R_3DcqffQaULh9KuSQ14	V353	R_3DcqffQaULh9KuS	Q14	Wrong use of scientific quantities to exaggerate (whether purposely or uncomciously is not known). Just one example - putting rates in units of microlitres/s as ml.s-1, when Greek mu should be used  Good - authors usually respond well to points made by reviewers	Reviewers point out error, authors glad to be notified about an error	44
R_3CAWHSvDkbHiNPYQ14	V289	R_3CAWHSvDkbHiNPY	Q14	If I do not agree with the reviewer, then I should not be afraid to say that his assumptions are wrong and I want to stay with my first interpretation of the results. And the editor from the journal should check who is right and possibly ask another reviewer for their opinion on this matter, and not reject the publication based only on reviewer statement. If the authors are afraid to defy the reviewer lest their paper be rejected, they will tend to misinterpret their results.	Relationships	86
R_1r0Qdv9NdZjv5qcQ9_Auth_14_TEXT	V146	R_1r0Qdv9NdZjv5qc	Q9_Auth_14_TEXT	the error being minor and neither affecting the synthesis reproductibility nor the conclusions of the article, I only mentionned the error to the co-authors	Contact authors	24
R_1GW7CH6RBKz128MQ2_notAuth_15_TEXT	V199	R_1GW7CH6RBKz128M	Q2_notAuth_15_TEXT	Our results were not consistent with the previously published results. A section of our articles mentioned the errors, because our research provided substantial evidence that those prior results were incorrect	Correction by a new publication	30
R_3HwxKN4jTXqYupOQ14	V168	R_3HwxKN4jTXqYupO	Q14	While I have never had to correct an error from a published article for someone else, there had been instances where we had tried to reproduce a published work from other author and the results were different from what the authors published. We had submitted our findings and cited the articles.	Correction by a new publication	51
R_1r0Qdv9NdZjv5qcQ10_Auth_4_TEXT	V489	R_1r0Qdv9NdZjv5qc	Q10_Auth_4_TEXT	a collegue discovered this error while reproducing the synthesis, I thus reported the error to the co-authors so they can give an answer if they receive a question about it in the futur	Replication failed	33
R_2B3W4v2bCr5qAzdQ14	V78	R_2B3W4v2bCr5qAzd	Q14	I would first want to encourage you on the choice of this project. in research, we encountered a highly influential field (attracting 100s of million USD of research funding in the US only over the last decade) where nearly all previous theoretical and experimental work was faulty; some of the errors were obvious and even infuriating. moreover, they were repeatedly done by some of the most famous scientists in my community and published in a decade-long series of papers in journals of the highest profile.  while the series of comments we wrote on these papers had some effect, our experience is that the most important ingredients were missing. those are   1. echoing of our criticism by leading researchers - while countless senior scientists in our community expressed full support in our criticism in private conversations, none had expressed it in public. some used the excuse of "I cannot run after every single error by others", "these scientists are too big to "fall", or simply hinted that they must maintain good relations with those influential researchers that published the faulty results.  2. cooperation from editors - while we had one good experience with one Science editor, our experience with other editors of that journal, as well as editors in other Nature group and ACS journals was that they want to avoid the scandal, or avoid a conflict with senior scientists who published faulty results. one even wrote that "our journal does not publish criticism over earlier work, but instead focuses on high end original research"... in other words, our feeling is that the editors are more committed to the financial success and reputation of their journal (not to mention their professional relations with those shady researchers) rather than to truth...  It is our impression that without these ingredients, the pace of self-correction in science is significantly slowed down, or even abolished altogether.	Concerns about the common good, the community, the consequences of propagation	316
R_1kZBXkfzpiRjt0oQ2_notAuth_15_TEXT	V81	R_1kZBXkfzpiRjt0o	Q2_notAuth_15_TEXT	In my area, the most common type of errors is (hopefully unintentional) reports of unspecific bioactive molecules, without definite proof of mode of action or binding mode to the target. There is unfortunately plenty of such unspecific molecules "polluting" the chem/bio literature, even in the highest IF journals. Have a look at our recent [ANONYMISED] paper on [ANONYMISED] as a compelling example. Another example is from [ANONYMISED]'s lab, who reviewed [ANONYMISED] and found many PAIN substructures. These are only two of plenty good examples.	Concerns about the common good, the community, the consequences of propagation	84
R_2TwaRdeCj54UJx6Q14	V88	R_2TwaRdeCj54UJx6	Q14	Problem is the network problem that errors are continued in networks of fields meaning e.g. all PIs in a certain field come from simillar academic family tree  and protect sometimes wrong results from the past since all their careers are build on that  of their senior lab.	Concerns about the common good, the community, the consequences of propagation	49
R_ptmsy9oQ0IGnED7Q14	V107	R_ptmsy9oQ0IGnED7	Q14	When the error is serious and has been widely accepted, it becomes difficult to refute it since referees will tend to follow uncritically the "accepted knowledge". I have experienced this problem, but I have also met with acclaim by referees who were willing to delve into the problem as part of their review job.	Concerns about the common good, the community, the consequences of propagation	54
R_3HFgkdaB6NjDtuQQ14	V115	R_3HFgkdaB6NjDtuQ	Q14	We have once corrected a calculation error. The conclusions were not affected, but the figures were not correct. A minor error, but should be corrected. Corrigendum was very easy way to do that.	Minor error, conclusions unchanged	33
R_1hGvlpLVTnvtRY8Q2_notAuth_15_TEXT	V127	R_1hGvlpLVTnvtRY8	Q2_notAuth_15_TEXT	I emailed the authors with a relevant polite question -I did not ask them directly or ask them to retract. I had a response that did not acknowledge the errors but did not want to act on it. So I discussed it with my students and tried to explain about being thorough and careful and ignored and never never cited this paper.	Contact authors	62
R_1CHBlwv2pswukSRQ2_notAuth_15_TEXT	V131	R_1CHBlwv2pswukSR	Q2_notAuth_15_TEXT	I sent an e-mail communication to the author, but not suggesting the publication of a correction, nor the retraction of the paper.	Contact authors	22
R_2QX61OqWNPvRFXGQ2_notAuth_15_TEXT	V132	R_2QX61OqWNPvRFXG	Q2_notAuth_15_TEXT	I sent an e-mail to the corresponding author, explaining that they did this wrong. However, I did not encourage them to retract or correct.	Contact authors	24
R_3iqXRX5duwBdoraQ2_notAuth_15_TEXT	V135	R_3iqXRX5duwBdora	Q2_notAuth_15_TEXT	I talked to the authors, but did not encourage them to retract the paper, just to not use the paper as a basis for any other research in that direction.	Contact authors	30
R_1jTZGqKQmCi03PPQ14	V169	R_1jTZGqKQmCi03PP	Q14	'- I have found important errors in published papers, but often too late to qualify for a "Corrections" contribution (according to journal policy). - Two relatively recent papers (last 5 years) of my own (JACS and JPC A) were entirely based on correcting important errors of papers of others (published in PNAS and JACS, respectively). For our JPC A paper, we submitted to PNAS (where the previous paper was published) but they did not want to publish our corrective study.	Correction by a new publication	80
R_3shVu8ceD5cpBR8Q14	V171	R_3shVu8ceD5cpBR8	Q14	A comment I submitted for publication was rejected by the journal after being reviewed by the authors of the criticized paper	Correction by a new publication	21
R_3qwXhWSdjjiYoT2Q2_notAuth_15_TEXT	V173	R_3qwXhWSdjjiYoT2	Q2_notAuth_15_TEXT	As I could not know if it were a mistake or a problem of a difference in a protocole, I emailed them. They never responded, but it was an old paper and they may have never received my message. I just then mentioned my own results in a paper.	Correction by a new publication	49
R_215SDxM6u0BsN4oQ3_notAuth_10_TEXT	V174	R_215SDxM6u0BsN4o	Q3_notAuth_10_TEXT	As I was working on a similar topic, I did not want to have to cite the erroneous paper. By writing an official note about it, I could safely ignore the paper in my own future publications.	Correction by a new publication	37
R_w5bbIlGBsnNvKxjQ14	V176	R_w5bbIlGBsnNvKxj	Q14	Bad experience: The correction of error from a previous paper consumed almost 1/3rd of my PhD time and I could get started on the problem I wanted to only after that. eventually, by itself it was not rewarding as I never wanted to publish a paper about "why someone was wrong".  I could only finish another paper from my PhD during my postdoc and the time I lost resulted in my never publishing the final chapters of my thesis.  Good experience: I learnt a lot in the process of correcting their work and in the end was able to produce the corrected work as an electronic annexure to my paper which had new results. Writing and publishing this work was my first PhD first author paper and was an immense learning experience for me, although it took all of my time. This paper has received many citations since 2010 and is a constant source of pride and satisfaction to me, and is also a model to my students on how to write an impactful paper.	Correction by a new publication	177
R_1LqFYLMpsBOG5TGQ14	V177	R_1LqFYLMpsBOG5TG	Q14	Dear all,  we actually tried 2 times to correct a basic (!) error in papers of other authors. One time, it went rather smoothly, but still took a very long time. The other time, it was really strange, even receiving a phone call from one of the authors of the criticized paper to drop our correction! It was also obvious that the publisher didn't like our criticism.  Being a professor and group leader, I think it is rather discouraging that pointing out errors in published papers is such a pain in the back! This is not good for the motivation of my young people.   Consequently, I surely hope that your research project will finally contribute to change things to the better. Keep up your good work!  Best regards  [ANONYMISED]	Correction by a new publication	135
R_w5bbIlGBsnNvKxjQ2_notAuth_15_TEXT	V73	R_w5bbIlGBsnNvKxj	Q2_notAuth_15_TEXT	I corrected the error as part of my work and cited the errors and the correction while publishing my work so that the scientific understanding was up to date until that point of time.	Correction by a new publication	34
R_1OSPCU3pI2hya80Q14	V182	R_1OSPCU3pI2hya80	Q14	I heard about a few papers that have falsified data but the paper wasn't retracted (often, Science or Nature). Publishing a paper in a lesser-known journal does not correct the original error but that is typically the outcome.	Correction by a new publication	38
R_2TRer5TNqA2HG7hQ2_notAuth_15_TEXT	V183	R_2TRer5TNqA2HG7h	Q2_notAuth_15_TEXT	I proved the error by experiment and published the correction. Have done this several times, sometimes in the same journal, other times in a different journal.   Mostly I do nothing about minor mistakes.	Correction by a new publication	35
R_2XoN1UmqujQcmJPQ2_notAuth_15_TEXT	V133	R_2XoN1UmqujQcmJP	Q2_notAuth_15_TEXT	I spoke to the authors of the papers (If I had been them I would have retracted, or published a correction). I also published a paper showing the same phenomenon that they reported (on a different sample) and proved that it was the result of spurious behaviour (heating of the sample by an X-ray beam)	Correction by a new publication	55
R_0djKFsodhdfJs1HQ3_notAuth_10_TEXT	V186	R_0djKFsodhdfJs1H	Q3_notAuth_10_TEXT	I think the error was not on purpose and with a publication mentioning it and give another solution I think it was enough.	Correction by a new publication	23
R_2RUrDHCTp7Qn2T2Q2_notAuth_15_TEXT	V187	R_2RUrDHCTp7Qn2T2	Q2_notAuth_15_TEXT	I usually correct errors by providing a correction or workaround in a paper	Correction by a new publication	13
R_3QDJsHZDWAPlTO6Q2_notAuth_15_TEXT	V188	R_3QDJsHZDWAPlTO6	Q2_notAuth_15_TEXT	I would like to write a paper showing that those results are wrong	Correction by a new publication	13
R_2OZK1LLV5vyh41LQ2_notAuth_15_TEXT	V137	R_2OZK1LLV5vyh41L	Q2_notAuth_15_TEXT	I wrote to the author and explained the problem before publication and then published a paper with the correct data. The problem was highlighted in a footnote in the paper I published.	Correction by a new publication	32
